ID;AT;SIL;ARG;AD
ZARC_762;59;24;17;0,063
ZARC_763;77;6;17;0,06
ZARC_764;24;59;17;0,22
ZARC_765;35;49;16;0,229
ZARC_766;35;49;16;0,225
ZARC_767;82;2;16;0,053
ZARC_768;83;1;16;0,035
ZARC_769;83;1;16;0,024
ZARC_770;43;41;16;0,136
ZARC_771;77;7;16;0,132
ZARC_772;42;42;16;0,132
ZARC_773;48;36;16;0,114
ZARC_774;78;6;16;0,107
ZARC_775;44;40;16;0,1
ZARC_776;41;43;16;0,099
ZARC_777;40;44;16;0,098
ZARC_778;75;9;16;0,09
ZARC_779;65;19;16;0,09
ZARC_780;45;39;16;0,089
ZARC_781;79;5;16;0,089
ZARC_782;49;35;16;0,088
ZARC_783;80;4;16;0,081
ZARC_784;81;3;16;0,078
ZARC_785;60;24;16;0,075
ZARC_786;46;38;16;0,06
ZARC_787;80;4;16;0,059
ZARC_788;53;31;16;0,052
ZARC_789;66;18;16;0,049
ZARC_790;30;55;15;0,213
ZARC_791;56;29;15;0,247
ZARC_792;15;70;15;0,2
ZARC_793;45;40;15;0,128
ZARC_794;46;39;15;0,125
ZARC_795;78;7;15;0,124
ZARC_796;51;34;15;0,123
ZARC_797;42;43;15;0,122
ZARC_798;62;23;15;0,11
ZARC_799;44;41;15;0,103
ZARC_800;68;17;15;0,1
ZARC_801;60;25;15;0,098
ZARC_802;47;38;15;0,098
ZARC_803;41;44;15;0,095
ZARC_804;50;35;15;0,089
ZARC_805;48;37;15;0,087
ZARC_806;73;12;15;0,078
ZARC_807;53;32;15;0,076
ZARC_808;75;10;15;0,07
ZARC_809;79;6;15;0,05
ZARC_810;80;5;15;0,041
ZARC_811;44;41;15;0,228
ZARC_812;38;48;14;0,184
ZARC_813;85;1;14;0,056
ZARC_814;76;10;14;0,24
ZARC_815;23;63;14;0,239
ZARC_816;16;70;14;0,2
ZARC_817;42;44;14;0,158
